fid,hovedtypegrupper_fkey,langkode,kode_id,navn
244,51,NIN-3.0-T-C-LI-0-0-I-MS07,LI-MS07,Dødt plantemateriale i marine systemer
245,51,NIN-3.0-T-C-LI-0-0-I-MS06,LI-MS06,Levende marine dyr
246,51,NIN-3.0-T-C-LI-0-0-I-MS05,LI-MS05,Levende marine planter
247,51,NIN-3.0-T-C-LI-0-0-I-MS04,LI-MS04,Levende organismer med karbonatsubstrater i marine systemer
248,51,NIN-3.0-T-C-LI-0-0-I-MS03,LI-MS03,Biogene karbonatsubstrater fra døde organismer i marine systemer
249,51,NIN-3.0-T-C-LI-0-0-I-MS02,LI-MS02,Bløtbunn i marine systemer
250,51,NIN-3.0-T-C-LI-0-0-I-MS01,LI-MS01,Hardbunn i marine systemer
251,52,NIN-3.0-T-C-LI-0-0-I-FU01,LI-FU01,Substratfrie livsmedier i ferskvann
252,53,NIN-3.0-T-C-LI-0-0-I-FS06,LI-FS06,Syntetiske livsmedier i ferskvann
253,53,NIN-3.0-T-C-LI-0-0-I-FS05,LI-FS05,Dødt organisk materiale i ferskvann
254,53,NIN-3.0-T-C-LI-0-0-I-FS04,LI-FS04,Levende ferskvannsdyr
255,53,NIN-3.0-T-C-LI-0-0-I-FS03,LI-FS03,Levende ferskvannsplanter
256,53,NIN-3.0-T-C-LI-0-0-I-FS02,LI-FS02,Bløtbunn i ferskvann
257,53,NIN-3.0-T-C-LI-0-0-I-FS01,LI-FS01,Hardbunn i ferskvann
258,54,NIN-3.0-T-C-PE-LA-0-A-I03,LA-I03,Innlandsslettelandskap
259,54,NIN-3.0-T-C-PE-LA-0-A-I02,LA-I02,Innlandsdallandskap
260,54,NIN-3.0-T-C-PE-LA-0-A-I01,LA-I01,Innlandsås- og fjellandskap
261,55,NIN-3.0-T-C-PE-LA-0-A-M03,LA-M03,Marine sletter
262,55,NIN-3.0-T-C-PE-LA-0-A-M02,LA-M02,Marine dallandskap
263,55,NIN-3.0-T-C-PE-LA-0-A-M01,LA-M01,Marine ås- og fjellandskap
264,56,NIN-3.0-T-C-PE-LA-0-A-K03,LA-K03,Kystslettelandskap
265,56,NIN-3.0-T-C-PE-LA-0-A-K02,LA-K02,Fjordlandskap
266,56,NIN-3.0-T-C-PE-LA-0-A-K01,LA-K01,Kystås- og kystfjellandskap
267,57,NIN-3.0-T-C-PE-NA-MB-A-TE09,NA-TE09,Isinnfrysingsmark
268,57,NIN-3.0-T-C-PE-NA-MB-A-TE08,NA-TE08,Flommarkseng
269,57,NIN-3.0-T-C-PE-NA-MB-A-TE07,NA-TE07,Ferskvannsdriftvoll
270,57,NIN-3.0-T-C-PE-NA-MB-A-TO04,NA-TO04,Upløyd jordbruksmark med intensivt hevdpreg
271,57,NIN-3.0-T-C-PE-NA-MB-A-TO03,NA-TO03,Oppdyrket varig eng
272,57,NIN-3.0-T-C-PE-NA-MB-A-TO02,NA-TO02,Oppdyrket mark med semi-naturlig engpreg
273,57,NIN-3.0-T-C-PE-NA-MB-A-TO01,NA-TO01,Åker
274,57,NIN-3.0-T-C-PE-NA-MB-A-TN03,NA-TN03,"Vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg"
275,57,NIN-3.0-T-C-PE-NA-MB-A-TN02,NA-TN02,"Blomsterenger, usprøytete vegkanter og liknende med semi-naturlig hevdpreg"
276,57,NIN-3.0-T-C-PE-NA-MB-A-TN01,NA-TN01,Blomsterbed og annen hyppig bearbeidet mark
277,57,NIN-3.0-T-C-PE-NA-MB-A-TM06,NA-TM06,Sterkt endret skogsmark
278,57,NIN-3.0-T-C-PE-NA-MB-A-TM05,NA-TM05,Ny løs fastmark på drenert våtmark
279,57,NIN-3.0-T-C-PE-NA-MB-A-TM04,NA-TM04,Ny løs fastmark på tørrlagt ferskvannsbunn
280,57,NIN-3.0-T-C-PE-NA-MB-A-TM03,NA-TM03,Løs sterkt endret fastmark
281,57,NIN-3.0-T-C-PE-NA-MB-A-TM02,NA-TM02,Ny hard fastmark på tørrlagt ferskvannsbunn
