fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
774,340,NIN-3.0-T-C-PE-NA-MB-TK01-09,TK01-09,TK01-09 Klart kalkrik semi-naturlig markryddet eng med åpent tresjikt,TK01-M005-09,TK01-M020-03,TK01-M050-02
775,340,NIN-3.0-T-C-PE-NA-MB-TK01-08,TK01-08,TK01-08 Svakt kalkrik semi-naturlig markryddet eng med åpent tresjikt,TK01-M005-08,TK01-M020-02,TK01-M050-01
776,340,NIN-3.0-T-C-PE-NA-MB-TK01-07,TK01-07,TK01-07 Kalkfattig semi-naturlig markryddet eng med åpent tresjikt,TK01-M005-07,TK01-M020-01,TK01-M050-01
777,340,NIN-3.0-T-C-PE-NA-MB-TK01-06,TK01-06,TK01-06 Klart kalkrik semi-naturlig ikke markryddet tørreng med åpent tresjikt,TK01-M005-06,TK01-M020-03,TK01-M050-02
778,340,NIN-3.0-T-C-PE-NA-MB-TK01-05,TK01-05,TK01-05 Svakt kalkrik semi-naturlig ikke markryddet tørreng med åpent tresjikt,TK01-M005-05,TK01-M020-02,TK01-M050-01
779,340,NIN-3.0-T-C-PE-NA-MB-TK01-04,TK01-04,TK01-04 Kalkfattig semi-naturlig ikke markryddet tørreng med åpent tresjikt,TK01-M005-04,TK01-M020-01,TK01-M050-01
780,340,NIN-3.0-T-C-PE-NA-MB-TK01-03,TK01-03,TK01-03 Klart kalkrik semi-naturlig ikke markryddet eng med åpent tresjikt,TK01-M005-03,TK01-M020-03,TK01-M050-02
781,340,NIN-3.0-T-C-PE-NA-MB-TK01-02,TK01-02,TK01-02 Svakt kalkrik semi-naturlig ikke markryddet eng med åpent tresjikt,TK01-M005-02,TK01-M020-02,TK01-M050-01
782,340,NIN-3.0-T-C-PE-NA-MB-TK01-01,TK01-01,TK01-01 Kalkfattig semi-naturlig ikke markryddet eng med åpent tresjikt,TK01-M005-01,TK01-M020-01,TK01-M050-01
783,341,NIN-3.0-T-C-PE-NA-MB-TI01-10,TI01-10,TI01-10 Klart endret høgstaudeskog,TI01-M005-10,,TI01-M050-01
784,341,NIN-3.0-T-C-PE-NA-MB-TI01-09,TI01-09,TI01-09 Klart endret storbregneskog,TI01-M005-09,,TI01-M050-01
785,341,NIN-3.0-T-C-PE-NA-MB-TI01-08,TI01-08,TI01-08 Hugd eller treslagstypeskiftet klart endret tørrere kalkskog,TI01-M005-08,TI01-M020-04,TI01-M050-01
